398755362.550497,8814892685.87347,131627050213.131,191123724955.713,232395301496.724,257440603297.089,262958929516.088,274779502906.329,281137324345.051,284392364665.409,285047949606.452,286363656841.712,287023786071.637,287155994414.104,287354421119.478,287420593819.742
5604569.88621188,140064044.476297,2866419759.4251,4349099825.54383,5391519340.48867,6024436322.09007,6162808585.97556,6452094893.2612,6602370878.25152,6678821893.10663,6694218000.28631,6725116770.38083,6740619597.11431,6743724448.30567,6748384406.83087,6749938441.79884
93811854.241527,1757923790.49974,23061325887.9596,32968124862.7264,39756127001.594,43826589446.5056,44712040173.4686,46571735818.7478,47565438236.5433,48098147460.4538,48208358487.4344,48430670844.6476,48542313638.9699,48564673105.8051,48598231618.4931,48609422941.7438
8782429230.6645,153755652978.523,1906266198247.29,2704505185528.1,3250085831924.88,3579316702227.67,3651556051575.01,3805192941504.99,3889031180586.97,3933569225529.87,3942629261852.61,3960825962913.82,3969956510240.36,3971785143947.23,3974529673944.51,3975444938654.14
69045604.5999543,1269259269.05203,24310745288.5731,37304521697.8118,46455261637.7438,52019357450.532,53227159495.5738,55734390750.6962,57032595762.2351,57692994884.198,57825989527.1111,58092899262.6186,58226815770.3112,58253636093.8302,58293889744.4977,58307313808.3359
17999852338.321,271973289854.199,2993376393136.31,4183196874620.65,4989005500669.11,5472246665680.55,5577832459318.87,5801300305654.06,5921537675615.9,5985649103332.19,5999062474347.45,6026506099881.79,6040394625149.51,6043176937866.14,6047352813330.86,6048745412976.79
5705680251.34166,79714215827.6512,824349203290.493,1143153866082.49,1358109293295.17,1486791029944.35,1514895553968.21,1574372894423.72,1606366697231.94,1623236008814.51,1626686707567.08,1633645815545.43,1637168454824.28,1637883514796.97,1638972502176.68,1639341957764.11
693631631.534573,11163858402.8343,246249318105.113,387562999645.315,487798955394.866,547318455545.363,560067000078.589,586461851357.842,600122152696.418,607071163826.223,608470592176.545,611279134255.117,612688262873.655,612970478158.987,613394044843.434,613535298769.91
1527061957.49219,17382927481.4856,211334639151.384,331740380723.738,417547329103.616,468495079325.856,479407611733.433,502001145385.79,513694125760.222,519642358434.494,520840244764.389,523244307939.246,524450497530.033,524692068906.167,525054634621.647,525175545526.111
475271339622.731,5281523350155.44,45467399288879.6,61618777229369.8,72368871661552.4,78771651046004.5,80168358405620.6,83124541570563.1,84716766013750.2,85561379127547,85736648241440,86098436933337.4,86289458771389.2,86328792687485.7,86388263599225,86408150646702
364405100502.847,3751733310892.86,30375965273207.1,40851679776028.5,47794954775955.7,51923852051761,52824243480309.9,54730099591365,55757038133464.4,56302119025154.5,56415256012653.5,56648022489098.9,56768334126220.1,56792672146828.9,56829433463404.8,56841819382386.8
183020593774.401,1743954544999.68,13278461862182.9,17721309273247.6,20653899867784.8,22395150325639.9,22774758344812.2,23578357944031.7,24011562803467.3,24241650177103.3,24289431322518.5,24387852948273.7,24439242145165.6,24449776053974.9,24465812212254.4,24471250936663.5
831391469875.816,7327670993379.07,52448262879214.7,69459919007255.3,80643331484256.2,87273907962506.9,88719081105135.6,91778816438256.1,93429095900616.6,94306214205882.6,94488457748699.3,94864029124989.5,95060702594043.7,95101321534972.3,95163570146387.4,95184779479364.2
626029165964.458,5108112171564.88,34381051796420.3,45184218279486.4,52258059594383.6,56446292569791.1,57358960451458.3,59291599485952.4,60334552906661.9,60889286261535,61004610228145.1,61242385314922.8,61366931382852.1,61392607768145.9,61431786957766.6,61445055298996.8
1187956806882.77,8980500788979.83,56832495736847.5,74117959218522.3,85392524481428.2,92059162078276.7,93511683800389.4,96588138800402.6,98249363567066.8,99133636777134.1,99317576583119.8,99697015630678.9,99895932949428,99936986934953.8,99999714187472.1,100020951335272
1737588847271.86,12164916061771.5,72407138460186.4,93708482506224.6,107550021405434,115724475105030,117505335412590,121278137428135,123316721764328,124402759992499,124628807952037,125095355581138,125340145440153,125390709690910,125468195203294,125494665241066
